player,position,team,club,championship
Fernando Muslera,GK,Uruguay,Galatasaray,Süper Lig
José Giménez,DF,Uruguay,Atlético Madrid,Liga
Diego Godín (captain),DF,Uruguay,Atlético Madrid,Liga
Guillermo Varela,DF,Uruguay,Peñarol,Primera División
Carlos Sánchez,MF,Uruguay,Monterrey,Liga MX
Rodrigo Bentancur,MF,Uruguay,Juventus,Serie A
Cristian Rodríguez,MF,Uruguay,Peñarol,Primera División
Nahitan Nández,MF,Uruguay,Boca Juniors,Primera División
Luis Suárez,FW,Uruguay,Barcelona,Liga
Giorgian De Arrascaeta,FW,Uruguay,Cruzeiro,Brasileiro Serie A
Cristhian Stuani,FW,Uruguay,Girona,Liga
Martín Campaña,GK,Uruguay,CA Independiente,Primera División
Gastón Silva,DF,Uruguay,CA Independiente,Primera División
Lucas Torreira,MF,Uruguay,Sampdoria,Serie A
Matías Vecino,MF,Uruguay,Inter,Serie A
Maxi Pereira,DF,Uruguay,Porto,Liga Portugal Bwin
Diego Laxalt,MF,Uruguay,Genoa,Serie A
Maxi Gómez,FW,Uruguay,Celta Vigo,La Liga
Sebastián Coates,DF,Uruguay,Sporting CP,Liga Portugal Bwin
Jonathan Urretaviscaya,FW,Uruguay,Monterrey,Liga MX
Edinson Cavani,FW,Uruguay,Paris S-G,Ligue 1
Martín Cáceres,DF,Uruguay,SS Lazio,Serie A
Martín Silva,GK,Uruguay,Vasco da Gama,Brasileiro Serie A
Hugo Lloris (captain),GK,France,Tottenham,Premier League
Benjamin Pavard,DF,France,Stuttgart,Bundesliga
Presnel Kimpembe,DF,France,Paris S-G,Ligue 1
Raphaël Varane,DF,France,Real Madrid,Liga
Samuel Umtiti,DF,France,Barcelona,Liga
Paul Pogba,MF,France,Manchester Utd,Premier League
Antoine Griezmann,FW,France,Atlético Madrid,Liga
Thomas Lemar,FW,France,Monaco,Ligue 1
Olivier Giroud,FW,France,Chelsea,Premier League
Kylian Mbappé,FW,France,Paris S-G,Ligue 1
Ousmane Dembélé,FW,France,Barcelona,Liga
Corentin Tolisso,MF,France,Bayern Munich,Bundesliga
