championship;club;championship_country
Bundesliga;Bayern Munich;Allemagne
Bundesliga;Dortmund;Allemagne
Bundesliga;Leverkusen;Allemagne
Bundesliga;RB Leipzig;Allemagne
Bundesliga;Union Berlin;Allemagne
Bundesliga;Fribourg;Allemagne
Bundesliga;Cologne;Allemagne
Bundesliga;FSV Mayence 05;Allemagne
Bundesliga;Hoffenheim;Allemagne
Bundesliga;Borussia Mönchengladbach;Allemagne
Bundesliga;M'Gladbach;Allemagne
Bundesliga;Eint Frankfurt;Allemagne
Bundesliga;VfL Wolfsburg;Allemagne
Bundesliga;VfL Bochum;Allemagne
Bundesliga;Augsbourg;Allemagne
Bundesliga;Stuttgart;Allemagne
Bundesliga;Hertha Berlin;Allemagne
Bundesliga;Arminia Bielefeld;Allemagne
Bundesliga;SpVgg Greuther Fürth;Allemagne
Premier League;Manchester City;Angleterre
Premier League;Liverpool;Angleterre
Premier League;Chelsea;Angleterre
Premier League;Tottenham;Angleterre
Premier League;Arsenal;Angleterre
Premier League;Fulham;Angleterre
Premier League;Wolves;Angleterre
Premier League;Manchester Utd;Angleterre
Premier League;West Ham;Angleterre
Premier League;Leicester City;Angleterre
Premier League;Brighton;Angleterre
Premier League;Wolverhampton Wanderers;Angleterre
Premier League;Newcastle Utd;Angleterre
Premier League;Crystal Palace;Angleterre
Premier League;Brentford;Angleterre
Premier League;Aston Villa;Angleterre
Premier League;Southampton;Angleterre
Premier League;Everton;Angleterre
Premier League;Leeds utd;Angleterre
Premier League;Burnley;Angleterre
Premier League;Watford;Angleterre
Premier League;Norwich City;Angleterre
Ligue 1;Paris S-G;France
Ligue 1;Marseille;France
Ligue 1;Monaco;France
Ligue 1;Rennes;France
Ligue 1;OGC Nice;France
Ligue 1;RC Strasbourg;France
Ligue 1;RC Lens;France
Ligue 1;Lyon;France
Ligue 1;Nantes;France
Ligue 1;LOLille;France
Ligue 1;Brest;France
Ligue 1;Stade de Reims;France
Ligue 1;Montpellier HSC;France
Ligue 1;Angers;France
Ligue 1;ES Troyes AC;France
Ligue 1;Lorient;France
Ligue 1;Clermont Foot 63;France
Ligue 1;Toulouse;France
Ligue 1;AC Ajaccio;France
Ligue 1;AJ Auxerre;France
Liga;Barcelona;Espagne
Liga;Real Madrid;Espagne
Liga;Atlético Madrid;Espagne
Liga;Real Sociedad;Espagne
Liga;Villarreal;Espagne
Liga;Betis;Espagne
Liga;Osasuna;Espagne
Liga;Athletic Bilbao;Espagne
Liga;RCD Majorque;Espagne
Liga;Girona;Espagne
Liga;Rayo Vallecano;Espagne
Liga;Sevilla;Espagne
Liga;Celta de Vigo;Espagne
Liga;Cadix;Espagne
Liga;Getafe;Espagne
Liga;Valence;Espagne
Liga;UD Almería;Espagne
Liga;Valladolid;Espagne
Liga;RCD Espanyol de Barcelone;Espagne
Liga;Elche CF;Espagne
Serie A;SNaples;Italie
Serie A;SS Lazio;Italie
Serie A;Inter;Italie
Serie A;Milan;Italie
Serie A;Atalanta;Italie
Serie A;Roma;Italie
Serie A;Juventus;Italie
Serie A;Fiorentina;Italie
Serie A;Bologne;Italie
Serie A;Torino;Italie
Serie A;AC Monza;Italie
Serie A;Udinese Calcio;Italie
Serie A;US Sassuolo;Italie
Serie A;Empoli;Italie
Serie A;US Salernitana 1919;Italie
Serie A;US Lecce;Italie
Serie A;Hellas Vérone;Italie
Serie A;Spezia Calcio;Italie
Serie A;US Cremonese;Italie
Serie A;Sampdoria;Italie
Prva Liga;Dinamo Zagreb;Croatie
Prva Liga;HNK Hajduk Split;Croatie
Prva Liga;NK Osijek;Croatie
Prva Liga;HNK Rijeka;Croatie
Prva Liga;NK Istra 1961;Croatie
Prva Liga;NK Varaždin;Croatie
Prva Liga;NK Lokomotiva Zagreb;Croatie
Prva Liga;NK Slaven Belupo;Croatie
Prva Liga;HNK Gorica;Croatie
Prva Liga;HNK Šibenik;Croatie
Eredivisie;Feyenoord Rotterdam;Pays-Bas
Eredivisie;PSV Eindhoven;Pays-Bas
Eredivisie;Ajax;Pays-Bas
