player,position,team,club,championship
Abdelhamid Sabiri,MF,Morocco,Sampdoria,
Abderrazak Hamdallah,FW,Morocco,Al-Ittihad,
Abdessamad Ezzalzouli,FW,Morocco,Osasuna,Liga
Achraf Dari,DF,Morocco,Brest,Ligue 1
Achraf Hakimi,DF,Morocco,Paris S-G,Ligue 1
Adrien Rabiot,MF,France,Juventus,Serie A
Alex Sandro,DF,Brazil,Juventus,Serie A
Alex Telles,DF,Brazil,Sevilla,Liga
Alexis Mac Allister,MF,Argentina,Brighton,Premier League
Alisson,GK,Brazil,Liverpool,Premier League
Alisson,GK,Brazil,Liverpool,Primera División
Anass Zaroury,FW,Morocco,Burnley,Premier League
Andrej Kramarić,FW,Croatia,Hoffenheim,Bundesliga
Andries Noppert,GK,Netherlands,Heerenveen,Eredivisie 
André Silva,FW,Portugal,RB Leipzig,Bundesliga
Ante Budimir,FW,Croatia,Osasuna,Liga
Antoine Griezmann,MF,France,Atlético Madrid,Liga
Antony,FW,Brazil,Manchester Utd,Premier League
António Silva,DF,Portugal,Benfica,Liga Portugal Bwin
Aurélien Tchouaméni,MF,France,Real Madrid,Liga
Axel Disasi,DF,France,Monaco,Ligue 1
Azzedine Ounahi,MF,Morocco,Angers,Ligue 1
Badr Banoun,DF,Morocco,Qatar SC,
Benjamin Pavard,DF,France,Bayern Munich,Bundesliga
Bernardo Silva,MF,Portugal,Manchester City,Premier League
Bilal El Khannous,MF,Morocco,Genk,
Borna Barišić,DF,Croatia,Rangers,
Borna Sosa,DF,Croatia,Stuttgart,Bundesliga
Bruno Fernandes,FW,Portugal,Manchester Utd,Premier League
Bruno Guimarães,MF,Brazil,Newcastle Utd,Premier League
Bruno Petković,FW,Croatia,Dinamo Zagreb,Prva Liga
Bukayo Saka,FW,England,Arsenal,Premier League
Bukayo Saka,FW,England,Arsenal,Primera División
Callum Wilson,FW,England,Newcastle Utd,Premier League
Casemiro,MF,Brazil,Manchester Utd,Premier League
Cody Gakpo,FW,Netherlands,PSV Eindhoven,Eredivisie 
Cristian Romero,DF,Argentina,Tottenham,Premier League
Cristiano Ronaldo,FW,Portugal,Manchester Utd,Premier League
Daley Blind,DF,Netherlands,Ajax,Eredivisie 
