player,position,club,championship
Aaron Mooy,MF,Celtic,
Aaron Ramsey,MF,Nice,
Abdelhamid Sabiri,MF,Sampdoria,
Abdelkarim Hassan,DF,Al Sadd SC,
Abderrazak Hamdallah,FW,Al-Ittihad,
Abdessamad Ezzalzouli,FW,Osasuna,
Abdou Diallo,DF,RB Leipzig,Bundesliga
Abdul Fatawu Issahaku,FW,Sporting CP,Liga Portugal Bwin
Abdulaziz Hatem,MF,Al Rayyan SC,
Abdulelah Al-Amri,DF,Al-Nassr,
Abdulellah Al-Malki,MF,Al-Hilal,
Abdullah Madu,DF,Al-Nassr,
Abdulrahman Al-Aboud,MF,Al-Ittihad,
Abolfazl Jalali,DF,Esteghlal,
Achraf Dari,DF,Brest,
Achraf Hakimi,DF,Paris S-G,
Adrien Rabiot,MF,Juventus,
Agustín Canobbio,MF,Atl Paranaense,
Ahmad Nourollahi,MF,Al-Ahli Dubai FC,
Ahmed Alaaeldin,FW,Al-Gharafa Sports Club,
Aimen Dahmen,GK,CS Sfaxien,
Ajdin Hrustic,MF,Hellas Verona,
Akram Afif,FW,Al Sadd SC,
Alan Franco,MF,Talleres,
Alejandro Balde,DF,Barcelona,
Aleksandar Mitrović,FW,Fulham,
Alex Sandro,DF,Juventus,
Alex Telles,DF,Sevilla,
Alexander Bah,DF,Benfica,
Alexander Djiku,DF,Strasbourg,
Alexis Mac Allister,MF,Brighton,
Alexis Vega,FW,Guadalajara,
Ali Abdi,DF,Caen,
Ali Al Hassan,MF,Al-Nassr,
Ali Al-Bulaihi,DF,Al-Hilal,
Ali Assadalla,MF,Al Sadd SC,
Ali Gholizadeh,MF,Charleroi,
Ali Karimi,MF,Kayserispor,
Ali Maâloul,DF,Al Ahly SC,
Alidu Seidu,DF,Clermont Foot,
Alireza Beiranvand,GK,Persepolis,
Alireza Jahanbakhsh,MF,Feyenoord,
Alisson,GK,Liverpool,Primera División
Alistair Johnston,DF,CF Montréal,
Almoez Ali,FW,Al Duhail SC,
Alphonso Davies,MF,Bayern Munich,Bundesliga
Amadou Onana,MF,Everton,
Anass Zaroury,FW,Burnley,
Andre-Frank Zambo Anguissa,MF,Napoli,
Andreas Christensen,DF,Barcelona,
Andreas Cornelius,FW,FC Copenhagen,
Andreas Skov Olsen,FW,Club Brugge,
Andrej Kramarić,FW,Hoffenheim,
Andries Noppert,GK,Heerenveen,
Andrija Živković,DF,PAOK,
André Ayew,MF,Al Sadd SC,
André Onana,GK,Inter,
André Silva,FW,RB Leipzig,Bundesliga
Andrés Guardado,MF,Betis,
Anis Ben Slimane,MF,Brøndby,
Ansu Fati,FW,Barcelona,
Ante Budimir,FW,Osasuna,
Anthony Contreras,FW,Club Sport Herediano,
Antoine Griezmann,MF,Atlético Madrid,
Antoine Semenyo,FW,Bristol City,
Antonee Robinson,DF,Fulham,
Antonio Rüdiger,DF,Real Madrid,Liga
Antony,FW,Manchester Utd,
António Silva,DF,Benfica,
Ao Tanaka,MF,Düsseldorf,
Ardon Jasari,FW,Luzern,
Arkadiusz Milik,FW,Juventus,
Artur Jędrzejczyk,DF,Legia Warsaw,
Asiri Haitham,FW,Al-Ahli,
Assim Madibo,MF,Al Duhail SC,
Atiba Hutchinson,MF,Beşiktaş,
Aurélien Tchouaméni,MF,Real Madrid,Liga
Awer Mabil,MF,Cádiz,
Axel Disasi,DF,Monaco,
Axel Witsel,MF,Atlético Madrid,
Ayase Ueda,FW,Cercle Brugge,
Aymeric Laporte,DF,Manchester City,Premier League
Aziz Behich,DF,Dundee United,
Azzedine Ounahi,MF,Angers,
Aïssa Laïdouni,MF,Ferencváros,
Baba Rahman,DF,Reading,
Badr Banoun,DF,Qatar SC,
Bailey Wright,DF,Sunderland,
Bamba Dieng,FW,Marseille,
Bartosz Bereszyński,DF,Sampdoria,
Bassam Al-Rawi,DF,Al Duhail SC,
Ben Davies,DF,Tottenham,
Benjamin Pavard,DF,Bayern Munich,Bundesliga
Bernardo Silva,MF,Manchester City,Premier League
Bilal El Khannous,MF,Genk,
Borna Barišić,DF,Rangers,
Borna Sosa,DF,Stuttgart,
Boualem Khoukhi,DF,Al Sadd SC,
Boulaye Dia,FW,Salernitana,
Brandon Aguilera,MF,Asociación Deportiva Guanacasteca,
Breel Embolo,FW,Monaco,
Brenden Aaronson,MF,Leeds United,Premier League
Brennan Johnson,FW,Nott'ham Forest,
Bruno Fernandes,FW,Manchester Utd,
Bruno Guimarães,MF,Newcastle Utd,
Bruno Petković,FW,Dinamo Zagreb,Prva Liga
Bryan Mbeumo,FW,Brentford,
Bryan Oviedo,DF,Real Salt Lake,
Bryan Ruiz,MF,Liga Deportiva Alajuelense,
Bukayo Saka,FW,Arsenal,
Callum Wilson,FW,Newcastle Utd,
Cameron Carter-Vickers,DF,Celtic,
Carlos Gruezo,MF,Augsburg,
Carlos Martínez,DF,AD San Carlos,
Carlos Soler,MF,Paris S-G,
Casemiro,MF,Manchester Utd,
Celso Borges,MF,Liga Deportiva Alajuelense,
Charles De Ketelaere,FW,Milan,
Charly Rodríguez,MF,Cruz Azul,
Cheikhou Kouyaté,MF,Nott'ham Forest,
Cho Guesung,FW,Jeonbuk,
Cho Yumin,FW,Daejeon Citizen FC,
Chris Mepham,DF,Bournemouth,
Christian Bassogog,MF,Shanghai Shen,
Christian Eriksen,MF,Manchester Utd,
Christian Fassnacht,FW,Young Boys,
Christian Nørgaard,MF,Brentford,
Christian Pulisic,FW,Chelsea,
Christopher Wooh,DF,Rennes,
Cody Gakpo,FW,PSV Eindhoven,Eredivisie 
Collins Fai,DF,Al-Ta'ee,
Connor Roberts,DF,Burnley,
Craig Goodwin,MF,Adelaide,
Cristian Romero,DF,Tottenham,
Cristiano Ronaldo,FW,Manchester Utd,
Cyle Larin,FW,Club Brugge,
César Azpilicueta,DF,Chelsea,
César Montes,DF,Monterrey,
Daichi Kamada,FW,Eint Frankfurt,
Daizen Maeda,FW,Celtic,
Daley Blind,DF,Ajax,
Damian Szymański,MF,AEK Athens,
Dani Alves,DF,UNAM,
Dani Carvajal,DF,Real Madrid,Liga
Dani Olmo,FW,RB Leipzig,Bundesliga
Daniel Amartey,DF,Leicester City,Premier League
Daniel Chacón,MF,CS Cartaginés,
Daniel James,FW,Fulham,
Daniel Kyereh,MF,Freiburg,
Danilo,DF,Juventus,
Danilo Pereira,DF,Paris S-G,
Danny Ward,GK,Leicester City,Premier League
Darko Lazović,DF,Hellas Verona,
Darwin Núñez,FW,Liverpool,Primera División
David Raum,DF,RB Leipzig,Bundesliga
David Wotherspoon,MF,St Johnstone,
Davy Klaassen,MF,Ajax,
Dayot Upamecano,DF,Bayern Munich,Bundesliga
